,都道府県名,市区町村名,名称,団体名,X,Y,小児対応機器設備の有無
0,東京都,中野区,中野区議会棟,中野区,-15337.75508,-32437.78481,有
1,東京都,中野区,中野区役所1階ロビー,中野区,-15338.83287,-32433.12334,有
2,東京都,中野区,中野区役所7階トイレ前,中野区,-15337.78535,-32455.31374,有
3,東京都,中野区,青色灯防犯パトロールカー用,中野区,-15337.75508,-32437.78481,有
4,東京都,中野区,なかのZERO（もみじ山文化センター）,中野区,-14622.28446,-32772.70763,有
5,東京都,中野区,歴史民俗資料館,中野区,-15228.45089,-30593.43245,有
6,東京都,中野区,産業振興センター,中野区,-14958.02973,-32788.56822,有
7,東京都,中野区,桃園第二小学校,中野区,-14241.21195,-32422.52528,有
8,東京都,中野区,塔山小学校,中野区,-13540.19093,-33180.14054,有
9,東京都,中野区,谷戸小学校,中野区,-14177.6447,-33017.61353,有
10,東京都,中野区,中野本郷小学校,中野区,-14763.9039,-33808.90106,有
11,東京都,中野区,江古田小学校,中野区,-15086.55,-30352.81685,有
12,東京都,中野区,鷺宮小学校,中野区,-17537.97375,-30483.10833,有
13,東京都,中野区,令和小学校,中野区,-14411.4716,-31396.58255,有
14,東京都,中野区,啓明小学校,中野区,-16372.50313,-31767.39474,有
15,東京都,中野区,中野第一小学校,中野区,-14082.1714,-33717.92313,有
16,東京都,中野区,北原小学校,中野区,-16466.76224,-30926.60357,有
17,東京都,中野区,南台小学校,中野区,-15312.61392,-35019.57721,有
18,東京都,中野区,美鳩小学校,中野区,-17024.82146,-31650.56537,有
19,東京都,中野区,江原小学校,中野区,-14507.05506,-29982.0118,有
20,東京都,中野区,みなみの小学校,中野区,-14829.8695,-34671.14843,有
21,東京都,中野区,武蔵台小学校,中野区,-18403.63431,-30168.4951,有
22,東京都,中野区,西中野小学校,中野区,-18275.05366,-30944.2558,有
23,東京都,中野区,上鷺宮小学校,中野区,-17943.50069,-29748.85012,有
24,東京都,中野区,桃花小学校,中野区,-15186.25684,-33218.19561,有
25,東京都,中野区,白桜小学校,中野区,-13948.65442,-32125.21869,有
26,東京都,中野区,平和の森小学校,中野区,-15691.79664,-31650.69103,有
27,東京都,中野区,緑野小学校,中野区,-15897.08861,-30485.97657,有
28,東京都,中野区,第二中学校,中野区,-14643.22862,-34115.52441,有
29,東京都,中野区,中野東中学校,中野区,-13034.69122,-32379.11298,有
30,東京都,中野区,明和中学校,中野区,-16614.70213,-31468.61866,有
31,東京都,中野区,第五中学校,中野区,-14034.45924,-31569.37004,有
32,東京都,中野区,第七中学校,中野区,-14968.60091,-30524.42391,有
33,東京都,中野区,北中野中学校,中野区,-18530.54574,-30120.63626,有
34,東京都,中野区,緑野中学校,中野区,-15913.11397,-30594.00667,有
35,東京都,中野区,南中野中学校,中野区,-15456.93943,-35203.15925,有
36,東京都,中野区,中野中学校,中野区,-15559.49666,-32207.4143,有
37,東京都,中野区,中野第一小学校（旧校舎）,中野区,-13912.94138,-34165.73423,
38,東京都,中野区,かみさぎ幼稚園,中野区,-18562.19521,-29682.00997,有
39,東京都,中野区,ひがしなかの幼稚園,中野区,-13195.72904,-32360.68058,有
40,東京都,中野区,教育センター,中野区,-13553.9551,-33477.25165,有
41,東京都,中野区,教育センター分室,中野区,-15997.08285,-32209.18867,有
42,東京都,中野区,軽井沢少年自然の家,中野区,0.0,40207.89418,有
43,東京都,中野区,城山ふれあいの家,中野区,-14153.35757,-32825.16645,有
44,東京都,中野区,野方図書館,中野区,-16193.91795,-31333.15773,有
45,東京都,中野区,南台図書館,中野区,-15173.00491,-34891.3451,有
46,東京都,中野区,江古田図書館,中野区,-14861.83068,-30513.17614,有
47,東京都,中野区,上高田図書館,中野区,-14310.62799,-31195.16201,有
48,東京都,中野区,中野東図書館,中野区,-13553.9551,-33477.25165,
49,東京都,中野区,みなみのライブラリー（地域開放型学校図書館）,中野区,-14849.64352,-34696.8541,有
50,東京都,中野区,美鳩ライブラリー（地域開放型学校図書館）,中野区,-16956.93899,-31685.7533,有
51,東京都,中野区,中野第一ライブラリー（地域開放型学校図書館）,中野区,-14042.89405,-33700.23638,有
52,東京都,中野区,子ども・若者支援センター,中野区,-13553.9551,-33477.25165,
53,東京都,中野区,みずの塔ふれあいの家,中野区,-14455.69723,-30441.40084,有
54,東京都,中野区,南中野児童館,中野区,-14698.60627,-34382.69382,有
55,東京都,中野区,みなみ児童館,中野区,-15498.77108,-35470.67976,有
56,東京都,中野区,弥生児童館,中野区,-13791.19956,-34332.00502,有
57,東京都,中野区,朝日が丘児童館,中野区,-13775.19706,-33817.478,有
58,東京都,中野区,宮の台児童館,中野区,-14457.2833,-33750.71647,有
59,東京都,中野区,文園児童館,中野区,-14163.9428,-32540.02641,有
60,東京都,中野区,上高田児童館,中野区,-14367.57715,-31220.47602,有
61,東京都,中野区,新井薬師児童館,中野区,-15023.97073,-31596.04158,有
62,東京都,中野区,北原児童館,中野区,-16531.66209,-30895.08601,有
63,東京都,中野区,野方児童館,中野区,-15650.16801,-32056.70528,有
64,東京都,中野区,大和児童館,中野区,-16402.98408,-31516.6069,有
65,東京都,中野区,大和西児童館,中野区,-16932.09615,-31658.73056,有
66,東京都,中野区,鷺宮児童館,中野区,-17284.67546,-30534.41723,有
67,東京都,中野区,西中野児童館,中野区,-18373.0462,-30818.68746,有
68,東京都,中野区,若宮児童館,中野区,-17390.61055,-31041.22164,有
69,東京都,中野区,かみさぎ児童館,中野区,-18258.31719,-29405.39213,有
70,東京都,中野区,キッズ・プラザ新山,中野区,-14951.59839,-35366.99792,有
71,東京都,中野区,キッズ・プラザ塔山,中野区,-13586.49531,-33220.56396,有
72,東京都,中野区,キッズ・プラザ桃花,中野区,-15175.88787,-33240.40189,有
73,東京都,中野区,キッズ・プラザ谷戸,中野区,-14105.39869,-33053.89588,有
74,東京都,中野区,キッズ・プラザ白桜,中野区,-13982.50374,-32130.60167,有
75,東京都,中野区,キッズ・プラザ江原,中野区,-14444.39106,-30053.5615,有
76,東京都,中野区,キッズ・プラザ江古田,中野区,-15052.3961,-30430.97892,有
77,東京都,中野区,キッズ・プラザ緑野,中野区,-15872.57172,-30586.97887,有
78,東京都,中野区,キッズ・プラザ武蔵台,中野区,-18373.18577,-30230.46468,有
79,東京都,中野区,キッズ・プラザみなみの,中野区,-14849.64352,-34696.8541,有
80,東京都,中野区,キッズ・プラザ美鳩,中野区,-16956.93899,-31685.7533,有
81,東京都,中野区,キッズ・プラザ中野第一,中野区,-14042.89405,-33700.23638,有
82,東京都,中野区,南中野区民活動センター,中野区,-15113.68099,-34815.33955,有
83,東京都,中野区,弥生区民活動センター,中野区,-14023.61895,-34102.54489,有
84,東京都,中野区,東部区民活動センター／宮園高齢者会館,中野区,-13636.38057,-33235.35387,有
85,東京都,中野区,鍋横区民活動センター,中野区,-14963.19409,-33974.64899,有
86,東京都,中野区,鍋横区民活動センター分室,中野区,-14822.46793,-33652.15244,有
87,東京都,中野区,桃園区民活動センター,中野区,-15021.65841,-33010.90134,有
88,東京都,中野区,昭和区民活動センター,中野区,-14329.40328,-32458.10707,有
89,東京都,中野区,東中野区民活動センター,中野区,-12940.0796,-32155.92332,有
90,東京都,中野区,上高田区民活動センター,中野区,-14549.41795,-31985.90899,有
91,東京都,中野区,新井区民活動センター,中野区,-15362.33526,-31686.76887,有
92,東京都,中野区,江古田区民活動センター,中野区,-14799.03827,-30074.16745,有
93,東京都,中野区,沼袋区民活動センター／障害者福祉会館,中野区,-15414.70401,-30633.71624,有
94,東京都,中野区,野方区民活動センター,中野区,-16279.94728,-31227.38246,有
95,東京都,中野区,野方区民活動センター分室（丸山高齢者集会室）,中野区,-16558.49698,-30633.76444,有
96,東京都,中野区,大和区民活動センター,中野区,-16686.5479,-31761.26307,有
97,東京都,中野区,鷺宮区民活動センター,中野区,-17507.3003,-30664.00668,有
98,東京都,中野区,鷺宮区民活動センター分室,,-17642.42953,-31317.35813,
99,東京都,中野区,上鷺宮区民活動センター,中野区,-18199.96277,-29709.16479,有
100,東京都,中野区,上鷺宮区民活動センター分室（上鷺宮二丁目集会室）,中野区,-17928.9786,-30262.21533,有
101,東京都,中野区,中部すこやか福祉センター,中野区,-14400.14753,-33229.48927,有
102,東京都,中野区,北部すこやか福祉センター,中野区,-15544.6218,-30533.3079,有
103,東京都,中野区,南部すこやか福祉センター,中野区,-14899.56526,-34565.19265,有
104,東京都,中野区,鷺宮すこやか福祉センター,中野区,-17480.20136,-30823.04198,有
105,東京都,中野区,南部高齢者会館,中野区,-15612.84553,-35122.4535,有
106,東京都,中野区,しんやまの家,中野区,-15011.21003,-35397.62855,有
107,東京都,中野区,本一高齢者会館,中野区,-13631.34992,-33967.47236,有
108,東京都,中野区,昭和高齢者会館,中野区,-13815.61041,-32336.55101,有
109,東京都,中野区,東中野いこいの家,中野区,-13356.83219,-32446.30957,有
110,東京都,中野区,上高田高齢者会館,中野区,-14554.90237,-32074.98723,有
111,東京都,中野区,上高田東高齢者会館,中野区,-14058.40404,-31835.04071,有
112,東京都,中野区,沼袋高齢者会館,中野区,-15212.83283,-31087.8223,有
113,東京都,中野区,野方高齢者会館,中野区,-15998.88018,-31649.81028,有
114,東京都,中野区,東山高齢者会館,中野区,-15973.21753,-30813.34459,有
115,東京都,中野区,若宮高齢者会館,中野区,-17223.58482,-31547.55959,有
116,東京都,中野区,鷺六高齢者会館,中野区,-18382.35389,-30420.2701,有
117,東京都,中野区,白鷺高齢者会館,中野区,-17862.19323,-31195.38428,有
118,東京都,中野区,若宮いこいの家,中野区,-16755.73699,-31027.13227,有
119,東京都,中野区,中野三丁目敬老館,中野区,-15312.03187,-33090.91114,
120,東京都,中野区,東中野地域包括支援センター,中野区,-13403.86468,-33092.36965,有
121,東京都,中野区,やよいの園,中野区,-14394.44911,-34516.32268,有
122,東京都,中野区,松が丘シニアプラザ,中野区,-14585.75769,-30918.57679,有
123,東京都,中野区,社会福祉会館（スマイルなかの）,中野区,-15202.25148,-32252.96484,有
124,東京都,中野区,中野区保健所,中野区,-14841.48725,-32956.50931,有
125,東京都,中野区,中野区立総合体育館,中野区,-15416.40453,-31508.94429,有
126,東京都,中野区,上高田運動施設（野球場、庭球場）,中野区,-14039.54182,-31350.47134,有
127,東京都,中野区,哲学堂公園,中野区,-14384.68066,-30776.12097,有
128,東京都,中野区,哲学堂公園内弓道場,中野区,-14424.40722,-30671.10424,有
129,東京都,中野区,妙正寺川公園運動広場,中野区,-14472.61912,-30943.72415,有
130,東京都,中野区,第二中学校温水プール,中野区,-14623.20469,-34101.80049,有
131,東京都,中野区,中野中学校温水プール,中野区,-15590.80692,-32208.9126,有
132,東京都,中野区,中部スポーツ・コミュニティプラザ,中野区,-14400.23892,-33230.04384,有
133,東京都,中野区,南部スポーツ・コミュニティプラザ,中野区,-14901.95436,-34586.60057,有
134,東京都,中野区,鷺宮スポーツ・コミュニティプラザ,中野区,-17814.37753,-30767.01696,有
135,東京都,中野区,中野区障害者福祉事業団,中野区,-15246.18299,-31910.96312,有
136,東京都,中野区,かみさぎこぶし園,中野区,-17844.38923,-29944.86537,有
137,東京都,中野区,弥生福祉作業所,中野区,-14701.71634,-34402.5474,有
138,東京都,中野区,療育センターアポロ園,中野区,-15732.39031,-30458.6451,有
139,東京都,中野区,療育センターゆめなりあ,中野区,-15106.62737,-34819.01265,有
140,東京都,中野区,知的・発達等障害児通所支援施設　みずいろ,中野区,-15919.5469,-30397.62542,有
141,東京都,中野区,重度・重複障害児通所支援施設　たんぽぽ,中野区,-15919.5469,-30397.62542,有
142,東京都,中野区,中野区役所福祉推進課,中野区,-15338.83287,-32433.12334,有
143,東京都,中野区,中野区健康福祉部障害福祉課,中野区,-15343.55944,-32445.42985,有
144,東京都,中野区,中野区役所生活援護課,中野区,-15338.83287,-32433.12334,有
145,東京都,中野区,リサイクル展示室,中野区,-14798.87209,-31331.26552,有
146,東京都,中野区,中野四季の森公園,中野区,-15553.14467,-32403.79456,有
147,東京都,中野区,広町みらい公園,中野区,-15555.85068,-34983.87521,有
